trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_pnl,fee_usd,net_pnl
24,LONG,2025-05-02 08:00:00+00:00,2025-05-02 17:00:00+00:00,3274.99,3241.05,0.6106888875996568,REVERSE_SIGNAL,-20.726780845132108,1.3927456267042035,-22.119526471836313
25,SHORT,2025-05-02 17:00:00+00:00,2025-05-05 02:00:00+00:00,3241.05,3279.22,0.6170839697011771,REVERSE_SIGNAL,-23.554095123493692,1.4082439332932226,-24.962339056786913
26,LONG,2025-05-05 02:00:00+00:00,2025-05-06 23:00:00+00:00,3279.22,3390.5,0.6099011350260123,REVERSE_SIGNAL,67.86979830569477,1.423754429406993,66.44604387628777
27,SHORT,2025-05-06 23:00:00+00:00,2025-05-08 02:00:00+00:00,3390.5,3415.58,0.5898834980091432,REVERSE_SIGNAL,-14.794278130069268,1.405177997345524,-16.19945612741479
28,LONG,2025-05-08 02:00:00+00:00,2025-05-08 06:00:00+00:00,3415.58,3358.61,0.585552087785969,REVERSE_SIGNAL,-33.358902441166535,1.3883243841455917,-34.747226825312126
29,SHORT,2025-05-08 06:00:00+00:00,2025-05-15 11:00:00+00:00,3358.61,3190.83,0.5954844414802553,REVERSE_SIGNAL,99.91037959155734,1.365031367142955,98.54534822441438
30,LONG,2025-05-15 11:00:00+00:00,2025-05-16 11:00:00+00:00,3190.83,3185.45,0.6267961627538916,REVERSE_SIGNAL,-3.372163355616005,1.3988197428255345,-4.77098309844154
31,SHORT,2025-05-16 11:00:00+00:00,2025-05-18 05:00:00+00:00,3185.45,3234.55,0.627854777190036,REVERSE_SIGNAL,-30.827669560030998,1.4107896843460108,-32.23845924437701
32,LONG,2025-05-18 05:00:00+00:00,2025-05-20 03:00:00+00:00,3234.55,3219.2,0.6183240327093413,REVERSE_SIGNAL,-9.491273902088615,1.3966780541342692,-10.887951956222885
33,SHORT,2025-05-20 03:00:00+00:00,2025-05-20 09:00:00+00:00,3219.2,3252.81,0.621272365805169,REVERSE_SIGNAL,-20.88096421471181,1.4073083374751492,-22.28827255218696
34,LONG,2025-05-20 09:00:00+00:00,2025-05-22 10:00:00+00:00,3252.81,3307.62,0.6148530040180644,REVERSE_SIGNAL,33.700093150230074,1.4117950326025805,32.28829811762749
35,SHORT,2025-05-22 10:00:00+00:00,2025-05-23 12:00:00+00:00,3307.62,3348.27,0.6046643810353064,REVERSE_SIGNAL,-24.57960708908526,1.40860286248118,-25.98820995156644
36,LONG,2025-05-23 12:00:00+00:00,2025-05-25 23:00:00+00:00,3348.27,3347.56,0.5973233938720593,REVERSE_SIGNAL,-0.42409960964918386,1.3998515651366228,-1.8239511747858066
37,SHORT,2025-05-25 23:00:00+00:00,2025-05-28 10:00:00+00:00,3347.56,3334.13,0.5974500830455616,REVERSE_SIGNAL,8.023754615301794,1.3971916858846445,6.626562929417149
38,LONG,2025-05-28 10:00:00+00:00,2025-05-28 21:00:00+00:00,3334.13,3297.66,0.5998566342644108,REVERSE_SIGNAL,-21.876771451623217,1.392343129991932,-23.26911458161515
39,SHORT,2025-05-28 21:00:00+00:00,2025-05-29 12:00:00+00:00,3297.66,3311.62,0.606490663076242,REVERSE_SIGNAL,-8.46660965654436,1.4029633133797905,-9.869572969924151
40,LONG,2025-05-29 12:00:00+00:00,2025-05-30 14:00:00+00:00,3311.62,3290.08,0.6039340262469728,REVERSE_SIGNAL,-13.008738925359772,1.395446941376124,-14.404185866735896
41,SHORT,2025-05-30 14:00:00+00:00,2025-06-01 19:00:00+00:00,3290.08,3310.0,0.6078879540923017,REVERSE_SIGNAL,-12.109128045518693,1.4042381948159315,-13.513366240334625
42,LONG,2025-06-01 19:00:00+00:00,2025-06-03 04:00:00+00:00,3310.0,3368.44,0.6042296072507553,REVERSE_SIGNAL,35.31117824773417,1.4123589123867069,33.89881933534746
43,SHORT,2025-06-03 04:00:00+00:00,2025-06-04 15:00:00+00:00,3368.44,3387.21,0.5937466601750365,REVERSE_SIGNAL,-11.144624811485425,1.40390061868402,-12.548525430169445
44,LONG,2025-06-04 15:00:00+00:00,2025-06-05 16:00:00+00:00,3387.21,3362.4,0.5904564523604973,REVERSE_SIGNAL,-14.649224583063905,1.3948727713959275,-16.044097354459833
45,SHORT,2025-06-05 16:00:00+00:00,2025-06-09 00:00:00+00:00,3362.4,3339.5,0.5948132286462051,REVERSE_SIGNAL,13.621222935998151,1.3952325719724006,12.225990364025751
46,LONG,2025-06-09 00:00:00+00:00,2025-06-09 01:00:00+00:00,3339.5,3324.75,0.5988920497080401,REVERSE_SIGNAL,-8.833657733193592,1.3969082197933822,-10.230565952986973
47,SHORT,2025-06-09 01:00:00+00:00,2025-06-09 07:00:00+00:00,3324.75,3342.86,0.6015489886457629,REVERSE_SIGNAL,-10.894052184374843,1.4038129182645314,-12.297865102639374
