trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_pnl,fee_usd,net_pnl
30,LONG,2025-05-15 11:00:00+00:00,2025-05-16 11:00:00+00:00,3190.83,3185.45,0.6267961627538916,REVERSE_SIGNAL,-3.372163355616005,1.3988197428255345,-4.77098309844154
31,SHORT,2025-05-16 11:00:00+00:00,2025-05-16 18:00:00+00:00,3185.45,3210.9336,0.627854777190036,HARD_SL,-16.000000000000018,1.4056,-17.405600000000018
32,LONG,2025-05-18 05:00:00+00:00,2025-05-18 20:00:00+00:00,3234.55,3208.6736,0.6183240327093413,HARD_SL,-16.000000000000064,1.3944,-17.394400000000065
33,SHORT,2025-05-20 03:00:00+00:00,2025-05-20 08:00:00+00:00,3219.2,3244.9536,0.621272365805169,HARD_SL,-16.000000000000004,1.4056,-17.405600000000003
34,LONG,2025-05-20 09:00:00+00:00,2025-05-22 10:00:00+00:00,3252.81,3307.62,0.6148530040180644,REVERSE_SIGNAL,33.700093150230074,1.4117950326025805,32.28829811762749
35,SHORT,2025-05-22 10:00:00+00:00,2025-05-23 06:00:00+00:00,3307.62,3334.08096,0.6046643810353064,HARD_SL,-15.999999999999932,1.4056,-17.405599999999932
36,LONG,2025-05-23 12:00:00+00:00,2025-05-25 23:00:00+00:00,3348.27,3347.56,0.5973233938720593,REVERSE_SIGNAL,-0.42409960964918386,1.3998515651366228,-1.8239511747858066
37,SHORT,2025-05-25 23:00:00+00:00,2025-05-28 10:00:00+00:00,3347.56,3334.13,0.5974500830455616,REVERSE_SIGNAL,8.023754615301794,1.3971916858846445,6.626562929417149
38,LONG,2025-05-28 10:00:00+00:00,2025-05-28 15:00:00+00:00,3334.13,3307.45696,0.5998566342644108,HARD_SL,-16.000000000000078,1.3944,-17.39440000000008
39,SHORT,2025-05-28 21:00:00+00:00,2025-05-29 12:00:00+00:00,3297.66,3311.62,0.606490663076242,REVERSE_SIGNAL,-8.46660965654436,1.4029633133797905,-9.869572969924151
40,LONG,2025-05-29 12:00:00+00:00,2025-05-30 14:00:00+00:00,3311.62,3290.08,0.6039340262469728,REVERSE_SIGNAL,-13.008738925359772,1.395446941376124,-14.404185866735896
41,SHORT,2025-05-30 14:00:00+00:00,2025-06-01 19:00:00+00:00,3290.08,3310.0,0.6078879540923017,REVERSE_SIGNAL,-12.109128045518693,1.4042381948159315,-13.513366240334625
42,LONG,2025-06-01 19:00:00+00:00,2025-06-03 04:00:00+00:00,3310.0,3368.44,0.6042296072507553,REVERSE_SIGNAL,35.31117824773417,1.4123589123867069,33.89881933534746
43,SHORT,2025-06-03 04:00:00+00:00,2025-06-04 15:00:00+00:00,3368.44,3387.21,0.5937466601750365,REVERSE_SIGNAL,-11.144624811485425,1.40390061868402,-12.548525430169445
44,LONG,2025-06-04 15:00:00+00:00,2025-06-05 15:00:00+00:00,3387.21,3360.11232,0.5904564523604973,HARD_SL,-15.999999999999913,1.3944,-17.394399999999912
45,SHORT,2025-06-05 16:00:00+00:00,2025-06-06 04:00:00+00:00,3362.4,3389.2992,0.5948132286462051,HARD_SL,-15.999999999999904,1.4056,-17.405599999999904
46,LONG,2025-06-09 00:00:00+00:00,2025-06-09 01:00:00+00:00,3339.5,3324.75,0.5988920497080401,REVERSE_SIGNAL,-8.833657733193592,1.3969082197933822,-10.230565952986973
47,SHORT,2025-06-09 01:00:00+00:00,2025-06-09 07:00:00+00:00,3324.75,3342.86,0.6015489886457629,REVERSE_SIGNAL,-10.894052184374843,1.4038129182645314,-12.297865102639374
48,LONG,2025-06-09 07:00:00+00:00,2025-06-10 02:00:00+00:00,3342.86,3325.0,0.5982900869315496,REVERSE_SIGNAL,-10.685460952597552,1.3962600886665908,-12.081721041264142
49,SHORT,2025-06-10 02:00:00+00:00,2025-06-10 11:00:00+00:00,3325.0,3349.21,0.6015037593984962,REVERSE_SIGNAL,-14.562406015037615,1.4050968421052632,-15.967502857142879
50,LONG,2025-06-10 11:00:00+00:00,2025-06-16 03:00:00+00:00,3349.21,3464.41,0.5971557471761998,REVERSE_SIGNAL,68.79234207469811,1.4240773197261445,67.36826475497197
51,SHORT,2025-06-16 03:00:00+00:00,2025-06-20 22:00:00+00:00,3464.41,3394.19,0.5772988762877374,REVERSE_SIGNAL,40.537927092924804,1.3858117255174762,39.152115367407326
52,LONG,2025-06-20 22:00:00+00:00,2025-06-22 23:00:00+00:00,3394.19,3412.54,0.5892422050621797,REVERSE_SIGNAL,10.812594462890944,1.4037844080620119,9.408810054828932
53,SHORT,2025-06-22 23:00:00+00:00,2025-06-26 00:00:00+00:00,3412.54,3352.32,0.5860737163520428,REVERSE_SIGNAL,35.2933591987199,1.387647324280448,33.90571187443945
54,LONG,2025-06-26 00:00:00+00:00,2025-06-26 13:00:00+00:00,3352.32,3335.18,0.5966017563955708,REVERSE_SIGNAL,-10.225754104620279,1.396420986063383,-11.622175090683662
55,SHORT,2025-06-26 13:00:00+00:00,2025-06-30 03:00:00+00:00,3335.18,3291.19,0.5996677840476377,REVERSE_SIGNAL,26.37938582025545,1.3907672149629107,24.98861860529254
56,LONG,2025-06-30 03:00:00+00:00,2025-07-02 07:00:00+00:00,3291.19,3337.12,0.607682935351651,REVERSE_SIGNAL,27.91087722070123,1.4097688070272454,26.501108413673986
57,SHORT,2025-07-02 07:00:00+00:00,2025-07-02 20:00:00+00:00,3337.12,3359.27,0.599319173418996,REVERSE_SIGNAL,-13.274919691230815,1.404646221891931,-14.679565913122746
58,LONG,2025-07-02 20:00:00+00:00,2025-07-03 12:00:00+00:00,3359.27,3332.39584,0.5953674459034255,HARD_SL,-15.99999999999991,1.3944,-17.39439999999991
59,SHORT,2025-07-03 13:00:00+00:00,2025-07-06 09:00:00+00:00,3328.5,3346.81,0.6008712633318312,REVERSE_SIGNAL,-11.001952831605795,1.403850683491062,-12.405803515096856
60,LONG,2025-07-06 09:00:00+00:00,2025-07-06 16:00:00+00:00,3346.81,3339.64,0.5975839680173061,REVERSE_SIGNAL,-4.284677050684128,1.3985003630322606,-5.683177413716389
61,SHORT,2025-07-06 16:00:00+00:00,2025-07-07 18:00:00+00:00,3339.64,3336.2,0.5988669437424393,REVERSE_SIGNAL,2.0601022864740237,1.399278964199734,0.6608233222742896
62,LONG,2025-07-07 18:00:00+00:00,2025-07-08 14:00:00+00:00,3336.2,3318.82,0.5994844433786943,REVERSE_SIGNAL,-10.419039625921501,1.3963533361309273,-11.815392962052428
63,SHORT,2025-07-08 14:00:00+00:00,2025-07-09 15:00:00+00:00,3318.82,3316.99,0.6026238241302632,REVERSE_SIGNAL,1.102801598158612,1.3996140194406446,-0.29681242128203267
64,LONG,2025-07-09 15:00:00+00:00,2025-07-15 16:00:00+00:00,3316.99,3337.31,0.6029562947129777,REVERSE_SIGNAL,12.252071908567807,1.4042882251679987,10.847783683399808
65,SHORT,2025-07-15 16:00:00+00:00,2025-07-16 15:00:00+00:00,3337.31,3364.00848,0.5992850529318523,HARD_SL,-16.00000000000001,1.4056,-17.40560000000001
