trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
26,BNB,M15+H1,LONG,2026-01-28 15:15,2026-01-29 14:45,901.2,878.18,1000.0,100.0,0.0,NO,LONG,,908.1,880.857,-25.5437,0.7049,-26.2486,TRAIL
27,BNB,M15+H1,SHORT,2026-01-30 15:15,2026-01-30 20:45,847.48,859.67,1000.0,100.0,0.0,NO,SHORT,SHORT,832.0,856.96,-14.3838,0.7191,-15.103,TRAIL
28,BNB,M15+H1,LONG,2026-02-15 00:45,2026-02-15 12:45,631.99,619.44,1000.0,100.0,0.0,NO,LONG,LONG,642.7,623.419,-19.8579,0.7069,-20.5648,TRAIL
29,BNB,M15+H1,SHORT,2026-02-18 14:00,2026-02-20 05:30,611.2,613.12,1000.0,100.0,0.0,NO,SHORT,,595.26,613.1178,-3.1414,0.7151,-3.8565,TRAIL
30,BNB,M15+H1,LONG,2026-03-01 01:45,2026-03-01 20:30,625.14,612.54,1000.0,100.0,0.0,NO,LONG,,632.34,613.3698,-20.1555,0.7068,-20.8623,TRAIL
31,BNB,M15+H1,SHORT,2026-03-01 23:30,2026-03-02 14:45,619.91,634.29,1000.0,100.0,0.0,NO,SHORT,,613.02,631.4106,-23.1969,0.7223,-23.9192,TRAIL
32,BNB,M15+H1,LONG,2026-03-03 03:30,2026-03-06 01:15,635.99,646.3,1000.0,100.0,0.0,NO,LONG,LONG,666.43,646.4371,16.2109,0.7198,15.4912,TRAIL
33,BNB,M15+H1,SHORT,2026-03-07 08:45,2026-03-09 04:15,628.07,625.81,1000.0,100.0,0.0,NO,SHORT,SHORT,607.56,625.7868,3.5983,0.7127,2.8856,TRAIL
34,BNB,M15+H1,LONG,2026-03-10 14:30,2026-03-13 17:30,645.35,656.96,1000.0,100.0,0.0,NO,LONG,LONG,679.59,659.2023,17.9902,0.7204,17.2698,TRAIL
35,BNB,M15+H1,SHORT,2026-03-19 04:00,2026-03-23 11:00,649.38,647.22,1000.0,100.0,0.0,NO,SHORT,SHORT,620.0,638.6,3.3262,0.7128,2.6134,TRAIL
36,BNB,M15+H1,LONG,2026-03-25 18:45,2026-03-26 09:30,645.52,629.57,1000.0,100.0,0.0,NO,LONG,,650.44,630.9268,-24.7088,0.7052,-25.4139,TRAIL
37,BNB,M15+H1,SHORT,2026-03-27 03:00,2026-03-30 02:00,629.0,614.79,1000.0,100.0,0.0,NO,SHORT,,596.01,613.8903,22.5914,0.7059,21.8855,TRAIL
38,BNB,M15+H1,LONG,2026-04-01 00:45,2026-04-02 01:30,619.49,603.47,1000.0,100.0,0.0,NO,LONG,,622.66,603.9802,-25.86,0.7048,-26.5647,TRAIL
39,BNB,M15+H1,SHORT,2026-04-02 22:15,2026-04-05 23:00,581.95,600.03,1000.0,100.0,0.0,NO,SHORT,,581.95,599.4085,-31.068,0.7251,-31.7931,TRAIL
40,BNB,M15+H1,LONG,2026-04-06 17:15,2026-04-08 14:30,605.08,604.02,1000.0,100.0,0.0,NO,LONG,LONG,625.38,606.6186,-1.7518,0.7134,-2.4652,TRAIL
41,BNB,M15+H1,SHORT,2026-04-10 08:30,2026-04-10 20:15,600.91,610.16,1000.0,100.0,0.0,NO,SHORT,LONG,599.94,617.9382,-15.3933,0.7195,-16.1128,FLIP_H1
42,BNB,M15+H1,LONG,2026-04-10 20:15,2026-04-12 01:30,610.16,595.84,1000.0,100.0,0.0,NO,LONG,,614.57,596.1329,-23.4693,0.7056,-24.1749,TRAIL
43,BNB,M15+H1,SHORT,2026-04-12 22:00,2026-04-13 19:45,593.84,608.96,1000.0,100.0,0.0,NO,SHORT,LONG,591.18,608.9154,-25.4614,0.7231,-26.1845,TRAIL
44,BNB,M15+H1,LONG,2026-04-15 02:00,2026-04-18 19:30,619.51,629.11,1000.0,100.0,0.0,NO,LONG,,649.19,629.7143,15.4961,0.7195,14.7766,TRAIL
45,BNB,M15+H1,SHORT,2026-04-26 03:00,2026-05-04 04:00,630.13,636.05,1000.0,100.0,0.0,NO,SHORT,LONG,610.29,628.5987,-9.3949,0.7174,-10.1122,TRAIL
46,BNB,M15+H1,LONG,2026-05-04 13:00,2026-05-07 02:00,623.58,643.5,1000.0,100.0,0.0,NO,LONG,LONG,664.72,644.7784,31.9446,0.7254,31.2192,TRAIL
47,BNB,M15+H1,SHORT,2026-05-16 20:30,2026-05-21 00:45,657.13,654.04,1000.0,100.0,0.0,NO,SHORT,,634.43,653.4629,4.7023,0.7123,3.9899,TRAIL
48,BNB,M15+H1,LONG,2026-05-21 17:15,2026-05-23 07:45,659.91,636.97,1000.0,100.0,0.0,NO,LONG,,664.95,645.0015,-34.7623,0.7016,-35.4639,TRAIL
49,BNB,M15+H1,SHORT,2026-05-29 14:15,2026-05-30 01:45,633.41,653.81,1000.0,100.0,0.0,NO,SHORT,,631.83,650.7849,-32.2066,0.7255,-32.9321,TRAIL
50,BNB,M15+H1,LONG,2026-05-31 10:00,2026-05-31 16:15,724.13,711.63,1000.0,100.0,0.0,NO,LONG,LONG,734.33,712.3001,-17.2621,0.7078,-17.9699,TRAIL
