trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
27,INJ,M15+H1,SHORT,2025-12-30 19:00,2026-01-01 13:00,4.508,4.286,1000.0,100.0,0.0,NO,SHORT,SHORT,4.159,4.28377,49.2458,0.6964,48.5494,TRAIL
28,INJ,M15+H1,LONG,2026-01-03 09:30,2026-01-05 04:15,4.882,5.135,1000.0,100.0,0.0,NO,LONG,LONG,5.298,5.13906,51.823,0.7325,51.0905,TRAIL
29,INJ,M15+H1,SHORT,2026-01-08 16:00,2026-01-09 15:15,5.205,5.299,1000.0,100.0,0.0,NO,SHORT,SHORT,5.1,5.253,-18.0596,0.7204,-18.78,TRAIL
30,INJ,M15+H1,LONG,2026-01-14 14:45,2026-01-14 18:30,5.631,5.505,1000.0,100.0,0.0,NO,LONG,LONG,5.724,5.55228,-22.3761,0.706,-23.0821,TRAIL
31,INJ,M15+H1,SHORT,2026-01-18 02:00,2026-01-19 00:00,5.265,4.629,1000.0,100.0,0.0,NO,SHORT,SHORT,4.406,4.53818,120.7977,0.6709,120.1268,TRAIL
32,INJ,M15+H1,LONG,2026-02-15 03:45,2026-02-15 12:00,3.265,3.199,1000.0,100.0,0.0,NO,LONG,LONG,3.312,3.21264,-20.2144,0.7068,-20.9212,TRAIL
33,INJ,M15+H1,SHORT,2026-02-18 11:15,2026-02-19 01:30,3.102,3.243,1000.0,100.0,0.0,NO,SHORT,SHORT,2.955,3.04365,-45.4545,0.7302,-46.1848,TRAIL
34,INJ,M15+H1,LONG,2026-02-21 21:00,2026-02-22 00:00,3.774,3.712,1000.0,100.0,0.0,NO,LONG,LONG,3.876,3.75972,-16.4282,0.7081,-17.1363,TRAIL
35,INJ,M15+H1,SHORT,2026-02-24 15:45,2026-02-25 01:00,3.221,3.229,1000.0,100.0,0.0,NO,SHORT,SHORT,3.108,3.20124,-2.4837,0.7149,-3.1986,TRAIL
36,INJ,M15+H1,LONG,2026-03-05 09:45,2026-03-05 16:00,3.1,3.001,1000.0,100.0,0.0,NO,LONG,,3.13,3.0361,-31.9355,0.7026,-32.6381,TRAIL
37,INJ,M15+H1,SHORT,2026-03-06 08:30,2026-03-08 10:15,3.023,2.866,1000.0,100.0,0.0,NO,SHORT,SHORT,2.775,2.85825,51.9352,0.6955,51.2397,TRAIL
38,INJ,M15+H1,LONG,2026-03-10 20:15,2026-03-13 22:15,2.954,3.069,1000.0,100.0,0.0,NO,LONG,LONG,3.17,3.0749,38.9303,0.7279,38.2024,TRAIL
39,INJ,M15+H1,SHORT,2026-03-22 00:15,2026-03-23 02:15,3.037,2.998,1000.0,100.0,0.0,NO,SHORT,SHORT,2.902,2.98906,12.8416,0.7094,12.1322,TRAIL
40,INJ,M15+H1,LONG,2026-03-31 20:00,2026-04-01 20:15,2.9,2.873,1000.0,100.0,0.0,NO,LONG,LONG,2.963,2.87411,-9.3103,0.7107,-10.021,TRAIL
41,INJ,M15+H1,SHORT,2026-04-02 15:00,2026-04-03 04:45,2.786,2.807,1000.0,100.0,0.0,NO,SHORT,SHORT,2.722,2.80366,-7.5377,0.7167,-8.2544,TRAIL
42,INJ,M15+H1,LONG,2026-04-07 21:00,2026-04-08 14:30,2.901,2.953,1000.0,100.0,0.0,NO,LONG,LONG,3.047,2.95559,17.9249,0.7204,17.2045,TRAIL
43,INJ,M15+H1,SHORT,2026-04-30 02:15,2026-05-01 07:45,3.473,3.528,1000.0,100.0,0.0,NO,SHORT,,3.401,3.50303,-15.8365,0.7197,-16.5561,TRAIL
44,INJ,M15+H1,LONG,2026-05-02 22:45,2026-05-04 10:15,3.79,3.699,1000.0,100.0,0.0,NO,LONG,LONG,3.82,3.7054,-24.0106,0.7054,-24.716,TRAIL
45,INJ,M15+H1,SHORT,2026-05-16 17:00,2026-05-17 04:00,4.708,4.756,1000.0,100.0,0.0,NO,SHORT,SHORT,4.614,4.75242,-10.1954,0.7176,-10.9131,TRAIL
46,INJ,M15+H1,LONG,2026-05-20 06:30,2026-05-20 16:00,4.999,5.058,1000.0,100.0,0.0,NO,LONG,LONG,5.264,5.10608,11.8024,0.7182,11.0841,TRAIL
