trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,votes_for,votes_total,gross_pnl,fee_usd,net_pnl
39,LONG,2025-05-29 12:00:00+00:00,2025-05-30 14:00:00+00:00,3311.62,3290.08,0.603934,REVERSE_SIGNAL,2,3,-13.0087,1.3954,-14.4042
40,SHORT,2025-05-30 14:00:00+00:00,2025-06-01 19:00:00+00:00,3290.08,3310.0,0.607888,REVERSE_SIGNAL,3,3,-12.1091,1.4042,-13.5134
41,LONG,2025-06-01 19:00:00+00:00,2025-06-03 04:00:00+00:00,3310.0,3368.44,0.60423,REVERSE_SIGNAL,3,3,35.3112,1.4124,33.8988
42,SHORT,2025-06-03 04:00:00+00:00,2025-06-04 15:00:00+00:00,3368.44,3387.21,0.593747,REVERSE_SIGNAL,2,3,-11.1446,1.4039,-12.5485
43,LONG,2025-06-04 15:00:00+00:00,2025-06-05 16:00:00+00:00,3387.21,3362.4,0.590456,REVERSE_SIGNAL,2,3,-14.6492,1.3949,-16.0441
44,SHORT,2025-06-05 16:00:00+00:00,2025-06-09 00:00:00+00:00,3362.4,3339.5,0.594813,REVERSE_SIGNAL,3,3,13.6212,1.3952,12.226
45,LONG,2025-06-09 00:00:00+00:00,2025-06-09 01:00:00+00:00,3339.5,3324.75,0.598892,REVERSE_SIGNAL,3,3,-8.8337,1.3969,-10.2306
46,SHORT,2025-06-09 01:00:00+00:00,2025-06-09 07:00:00+00:00,3324.75,3342.86,0.601549,REVERSE_SIGNAL,3,3,-10.8941,1.4038,-12.2979
47,LONG,2025-06-09 07:00:00+00:00,2025-06-10 02:00:00+00:00,3342.86,3325.0,0.59829,REVERSE_SIGNAL,3,3,-10.6855,1.3963,-12.0817
48,SHORT,2025-06-10 02:00:00+00:00,2025-06-10 11:00:00+00:00,3325.0,3349.21,0.601504,REVERSE_SIGNAL,3,3,-14.5624,1.4051,-15.9675
49,LONG,2025-06-10 11:00:00+00:00,2025-06-16 03:00:00+00:00,3349.21,3464.41,0.597156,REVERSE_SIGNAL,3,3,68.7923,1.4241,67.3683
50,SHORT,2025-06-16 03:00:00+00:00,2025-06-20 22:00:00+00:00,3464.41,3394.19,0.577299,REVERSE_SIGNAL,3,3,40.5379,1.3858,39.1521
51,LONG,2025-06-20 22:00:00+00:00,2025-06-22 23:00:00+00:00,3394.19,3412.54,0.589242,REVERSE_SIGNAL,3,3,10.8126,1.4038,9.4088
52,SHORT,2025-06-22 23:00:00+00:00,2025-06-26 00:00:00+00:00,3412.54,3352.32,0.586074,REVERSE_SIGNAL,2,3,35.2934,1.3876,33.9057
53,LONG,2025-06-26 00:00:00+00:00,2025-06-26 13:00:00+00:00,3352.32,3335.18,0.596602,REVERSE_SIGNAL,3,3,-10.2258,1.3964,-11.6222
54,SHORT,2025-06-26 13:00:00+00:00,2025-06-30 03:00:00+00:00,3335.18,3291.19,0.599668,REVERSE_SIGNAL,3,3,26.3794,1.3908,24.9886
55,LONG,2025-06-30 03:00:00+00:00,2025-07-02 07:00:00+00:00,3291.19,3337.12,0.607683,REVERSE_SIGNAL,2,3,27.9109,1.4098,26.5011
56,SHORT,2025-07-02 07:00:00+00:00,2025-07-02 20:00:00+00:00,3337.12,3359.27,0.599319,REVERSE_SIGNAL,3,3,-13.2749,1.4046,-14.6796
