signal_time,signal_side,hyper_turbo,alpha_1,alpha_2_nr,votes_for,votes_total,decision
2025-11-19 19:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-11-21 16:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-11-23 14:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-11-24 11:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-12-02 03:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-12-03 13:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-12-04 05:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-12-05 05:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-12-05 18:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-12-07 23:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-12-08 14:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-12-09 15:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-12-12 15:00:00+00:00,SHORT,SHORT,LONG,LONG,1,3,FLAT
2025-12-15 01:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-12-15 15:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-12-16 13:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-12-23 14:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-12-23 20:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-12-24 14:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-12-25 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-12-28 13:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-12-30 12:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-12-31 04:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-01-01 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-01-02 14:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-01-03 08:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-01-07 05:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-01-08 16:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-01-11 13:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-01-11 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-01-15 03:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-01-18 06:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-01-21 19:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-01-22 17:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-01-26 21:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-01-27 20:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-01-29 15:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-02-02 12:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
