entry_time,exit_time,symbols,top_scores,beta,long_ret,btc_ret,gross,fee,net,turnover,hedge_turnover
2024-07-12 16:00,2024-07-12 20:00,ZENUSDT;1000BONKUSDT;ARKMUSDT;ZROUSDT;JASMYUSDT;ATOMUSDT;BTCDOMUSDT;CRVUSDT;AVAXUSDT;TONUSDT,"{""1000BONKUSDT"": 3.5367, ""ARKMUSDT"": 3.1458, ""ATOMUSDT"": 0.0524, ""AVAXUSDT"": -1.2475, ""BTCDOMUSDT"": -0.667, ""CRVUSDT"": -0.9778, ""JASMYUSDT"": 0.4145, ""TONUSDT"": -2.5868, ""ZENUSDT"": 3.8781, ""ZROUSDT"": 0.9734}",1.302744,-0.01672151,-0.01104506,-23.3262,0.7583,-24.0845,2000.0,124.0387
2024-07-12 20:00,2024-07-13 00:00,ZENUSDT;FILUSDT;1000BONKUSDT;ARKMUSDT;BTCDOMUSDT;JASMYUSDT;AVAXUSDT;ATOMUSDT;CRVUSDT;TONUSDT,"{""1000BONKUSDT"": 3.0983, ""ARKMUSDT"": 2.4552, ""ATOMUSDT"": -0.5119, ""AVAXUSDT"": -0.3683, ""BTCDOMUSDT"": 0.7396, ""CRVUSDT"": -1.0778, ""FILUSDT"": 4.1361, ""JASMYUSDT"": 0.5611, ""TONUSDT"": -2.0743, ""ZENUSDT"": 5.9602}",1.23261,0.01416476,0.00562678,72.2913,0.9644,71.3269,2000.0,701.3367
2024-07-13 00:00,2024-07-13 04:00,ZENUSDT;BTCDOMUSDT;STORJUSDT;1000BONKUSDT;TONUSDT;ARKMUSDT;AVAXUSDT;CRVUSDT;ATOMUSDT;JASMYUSDT,"{""1000BONKUSDT"": 2.9176, ""ARKMUSDT"": 2.4383, ""ATOMUSDT"": -1.8256, ""AVAXUSDT"": -0.5449, ""BTCDOMUSDT"": 5.2508, ""CRVUSDT"": -1.6989, ""JASMYUSDT"": -1.8777, ""STORJUSDT"": 4.7573, ""TONUSDT"": 2.608, ""ZENUSDT"": 6.3535}",1.239728,0.01450094,-0.00133921,161.6119,0.7394,160.8725,2000.0,71.1766
2024-07-13 04:00,2024-07-13 08:00,BTCDOMUSDT;DYMUSDT;TONUSDT;STORJUSDT;1000BONKUSDT;AVAXUSDT;CRVUSDT;ARKMUSDT;JASMYUSDT;ATOMUSDT,"{""1000BONKUSDT"": 1.7205, ""ARKMUSDT"": 0.0944, ""ATOMUSDT"": -1.4568, ""AVAXUSDT"": 0.3124, ""BTCDOMUSDT"": 4.9199, ""CRVUSDT"": 0.287, ""DYMUSDT"": 3.624, ""JASMYUSDT"": -0.7021, ""STORJUSDT"": 2.9301, ""TONUSDT"": 3.0731}",1.284679,0.00283255,0.00601289,-48.9209,0.8745,-49.7954,2000.0,449.5107
2024-07-13 08:00,2024-07-13 12:00,BTCDOMUSDT;TONUSDT;EGLDUSDT;DYMUSDT;STORJUSDT;AVAXUSDT;CRVUSDT;JASMYUSDT;ARKMUSDT;ATOMUSDT,"{""ARKMUSDT"": -1.567, ""ATOMUSDT"": -1.6706, ""AVAXUSDT"": 0.8929, ""BTCDOMUSDT"": 8.8219, ""CRVUSDT"": 0.3686, ""DYMUSDT"": 3.5773, ""EGLDUSDT"": 4.6952, ""JASMYUSDT"": 0.3635, ""STORJUSDT"": 2.707, ""TONUSDT"": 4.8599}",1.212625,-0.00154646,0.00643275,-93.4697,0.9712,-94.4409,2000.0,720.5419
2024-07-13 12:00,2024-07-13 16:00,BTCDOMUSDT;DYMUSDT;TRXUSDT;EGLDUSDT;TONUSDT;AVAXUSDT;CRVUSDT;ATOMUSDT;JASMYUSDT;ARKMUSDT,"{""ARKMUSDT"": -1.328, ""ATOMUSDT"": 0.184, ""AVAXUSDT"": 1.1059, ""BTCDOMUSDT"": 9.7958, ""CRVUSDT"": 0.6458, ""DYMUSDT"": 5.7555, ""EGLDUSDT"": 4.4228, ""JASMYUSDT"": 0.0262, ""TONUSDT"": 3.6347, ""TRXUSDT"": 4.5316}",1.107728,0.00027723,0.00503298,-52.9795,1.0885,-54.068,2000.0,1048.9624
2024-07-13 16:00,2024-07-13 20:00,TURBOUSDT;BTCDOMUSDT;DYMUSDT;EGLDUSDT;JASMYUSDT;TONUSDT;CRVUSDT;AVAXUSDT;ARKMUSDT;ATOMUSDT,"{""ARKMUSDT"": -0.9357, ""ATOMUSDT"": -1.4374, ""AVAXUSDT"": -0.4199, ""BTCDOMUSDT"": 4.1708, ""CRVUSDT"": -0.2842, ""DYMUSDT"": 3.3233, ""EGLDUSDT"": 2.0577, ""JASMYUSDT"": 1.6549, ""TONUSDT"": 1.5797, ""TURBOUSDT"": 4.3658}",1.220346,-0.00629431,-0.00360152,-18.9921,1.116,-20.1081,2000.0,1126.1794
2024-07-13 20:00,2024-07-14 00:00,BTCDOMUSDT;1000SATSUSDT;TURBOUSDT;EGLDUSDT;DYMUSDT;TONUSDT;AVAXUSDT;CRVUSDT;ARKMUSDT;ATOMUSDT,"{""1000SATSUSDT"": 4.0001, ""ARKMUSDT"": -0.7518, ""ATOMUSDT"": -1.7014, ""AVAXUSDT"": 0.196, ""BTCDOMUSDT"": 4.5617, ""CRVUSDT"": -0.5683, ""DYMUSDT"": 2.9337, ""EGLDUSDT"": 3.3802, ""TONUSDT"": 2.6975, ""TURBOUSDT"": 3.9586}",1.223701,0.00460204,0.00985038,-74.5188,0.726,-75.2448,2000.0,33.5438
2024-07-14 00:00,2024-07-14 04:00,1000SATSUSDT;XMRUSDT;TURBOUSDT;TONUSDT;DYMUSDT;BTCDOMUSDT;AVAXUSDT;ATOMUSDT;ARKMUSDT;CRVUSDT,"{""1000SATSUSDT"": 4.1945, ""ARKMUSDT"": -0.7065, ""ATOMUSDT"": 0.7968, ""AVAXUSDT"": 1.4923, ""BTCDOMUSDT"": 2.6187, ""CRVUSDT"": -0.937, ""DYMUSDT"": 2.7913, ""TONUSDT"": 3.2069, ""TURBOUSDT"": 3.2174, ""XMRUSDT"": 3.5896}",1.174801,0.00640379,0.00441242,12.2008,0.8886,11.3122,2000.0,488.9921
2024-07-14 04:00,2024-07-14 08:00,XMRUSDT;TONUSDT;TRXUSDT;1000SATSUSDT;TURBOUSDT;BTCDOMUSDT;ATOMUSDT;AVAXUSDT;ARKMUSDT;CRVUSDT,"{""1000SATSUSDT"": 2.8446, ""ARKMUSDT"": 1.2212, ""ATOMUSDT"": 1.8568, ""AVAXUSDT"": 1.3186, ""BTCDOMUSDT"": 2.0994, ""CRVUSDT"": -0.1724, ""TONUSDT"": 4.1142, ""TRXUSDT"": 3.191, ""TURBOUSDT"": 2.3807, ""XMRUSDT"": 5.6106}",1.056629,0.00714846,0.01003113,-34.5072,1.1359,-35.6431,2000.0,1181.7208
