symbol,trades,longs,shorts,wr_fee,wr_nofee,net,fee,gross,profit_factor,sharpe,max_dd_pct,results
VANA,10,10,0,10.0,10.0,-13.617,7.1022,-6.5148,0.6911,-0.3718,0.3676,"{""SL"": 9, ""TP"": 1}"
PENGU,1,1,0,0.0,0.0,-14.1822,0.7092,-13.4731,0.0,0.0,0.1418,"{""SL"": 1}"
ROSE,252,252,0,27.78,32.94,-18.2857,177.8394,159.5537,0.9592,-0.1728,0.9069,"{""SL"": 229, ""TP"": 23}"
THE,18,18,0,27.78,33.33,-22.4772,12.7604,-9.7167,0.6543,-0.6442,0.3632,"{""SL"": 17, ""TP"": 1}"
SPX,11,11,0,18.18,27.27,-24.6997,7.7974,-16.9023,0.3782,-1.2171,0.3972,"{""SL"": 10, ""TP"": 1}"
ENA,166,166,0,23.49,30.12,-24.736,118.964,94.2281,0.9473,-0.1973,1.1039,"{""SL"": 145, ""TP"": 21}"
BTCDOM,244,244,0,23.77,37.7,-27.2697,173.4739,146.2043,0.8745,-0.7368,0.5663,"{""SL"": 202, ""TP"": 42}"
XTZ,258,258,0,27.91,34.11,-36.7619,184.2873,147.5253,0.9243,-0.4362,1.0786,"{""SL"": 221, ""TP"": 37}"
TRX,272,272,0,29.04,46.32,-43.1799,193.557,150.3771,0.8277,-0.9987,0.6274,"{""SL"": 237, ""TP"": 35}"
MEME,262,262,0,29.39,37.4,-62.1689,183.5906,121.4217,0.8909,-0.5659,1.7511,"{""SL"": 233, ""TP"": 29}"
RONIN,243,243,0,29.63,40.33,-69.6839,170.2855,100.6015,0.8278,-0.9511,1.3912,"{""SL"": 219, ""TP"": 24}"
MOVE,22,22,0,22.73,22.73,-69.8058,15.5343,-54.2715,0.2481,-2.6032,0.9154,"{""SL"": 22}"
BLUR,302,302,0,26.82,34.44,-71.83,212.217,140.387,0.8856,-0.5841,1.7319,"{""SL"": 274, ""TP"": 28}"
POPCAT,71,71,0,23.94,28.17,-73.4761,50.1083,-23.3678,0.7083,-0.9238,1.7281,"{""SL"": 65, ""TP"": 6}"
PNUT,33,33,0,21.21,21.21,-86.4974,22.9862,-63.5113,0.5497,-1.2047,1.2377,"{""SL"": 29, ""TP"": 4}"
MINA,289,289,0,28.37,34.26,-86.8845,202.0072,115.1227,0.8353,-0.9037,1.4058,"{""SL"": 266, ""TP"": 23}"
CRV,220,220,0,29.09,32.73,-105.0933,154.7089,49.6156,0.8245,-0.9575,1.5847,"{""SL"": 186, ""TP"": 34}"
USDC,467,467,0,0.0,80.73,-306.3559,317.8853,11.5294,0.0,-277.9218,3.0636,"{""SL"": 414, ""TIMEOUT"": 1, ""TP"": 52}"
