trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
254,BTCUSDT,2024-06-27 20:30:00+00:00,2024-06-28 07:40:00+00:00,SHORT,TP,61429.9,61368.4701,0.813936,50.0,35.0,15.0,WIN,-6390.0
255,BTCUSDT,2024-06-28 08:00:00+00:00,2024-06-28 08:10:00+00:00,SHORT,TP,61318.0,61256.682,0.815421,50.0,35.0,15.0,WIN,-6375.0
256,BTCUSDT,2024-06-29 02:25:00+00:00,2024-06-29 07:10:00+00:00,LONG,TP,60887.4,60948.2874,0.821188,50.0,35.0,15.0,WIN,-6360.0
257,BTCUSDT,2024-06-30 00:45:00+00:00,2024-06-30 07:00:00+00:00,LONG,TP,61063.2,61124.2632,0.818824,50.0,35.0,15.0,WIN,-6345.0
258,BTCUSDT,2024-06-30 07:10:00+00:00,2024-06-30 07:10:00+00:00,LONG,TP,61516.1,61577.6161,0.812795,50.0,35.0,15.0,WIN,-6330.0
259,BTCUSDT,2024-07-01 08:35:00+00:00,2024-07-01 08:35:00+00:00,SHORT,TP,63077.2,63014.1228,0.792679,50.0,35.0,15.0,WIN,-6315.0
260,BTCUSDT,2024-07-01 16:15:00+00:00,2024-07-01 17:25:00+00:00,LONG,TP,63277.1,63340.3771,0.790175,50.0,35.0,15.0,WIN,-6300.0
261,BTCUSDT,2024-07-01 23:25:00+00:00,2024-07-01 23:30:00+00:00,SHORT,TP,62900.3,62837.3997,0.794909,50.0,35.0,15.0,WIN,-6285.0
262,BTCUSDT,2024-07-03 19:05:00+00:00,2024-07-03 19:15:00+00:00,SHORT,TP,60074.2,60014.1258,0.832304,50.0,35.0,15.0,WIN,-6270.0
263,BTCUSDT,2024-07-04 00:55:00+00:00,2024-07-04 01:05:00+00:00,LONG,TP,60411.0,60471.411,0.827664,50.0,35.0,15.0,WIN,-6255.0
264,BTCUSDT,2024-07-04 16:00:00+00:00,2024-07-04 16:40:00+00:00,LONG,TP,58137.5,58195.6375,0.86003,50.0,35.0,15.0,WIN,-6240.0
265,BTCUSDT,2024-07-04 23:40:00+00:00,2024-07-04 23:40:00+00:00,SHORT,TP,57599.5,57541.9005,0.868063,50.0,35.0,15.0,WIN,-6225.0
266,BTCUSDT,2024-07-05 11:25:00+00:00,2024-07-05 11:25:00+00:00,LONG,TP,55172.8,55227.9728,0.906244,50.0,35.0,15.0,WIN,-6210.0
267,BTCUSDT,2024-07-06 02:05:00+00:00,2024-07-06 02:05:00+00:00,SHORT,TP,56276.5,56220.2235,0.88847,50.0,35.0,15.0,WIN,-6195.0
268,BTCUSDT,2024-07-07 05:10:00+00:00,2024-07-07 07:10:00+00:00,SHORT,TP,57500.0,57442.5,0.869565,50.0,35.0,15.0,WIN,-6180.0
269,BTCUSDT,2024-07-07 20:35:00+00:00,2024-07-07 20:45:00+00:00,LONG,TP,57197.0,57254.197,0.874172,50.0,35.0,15.0,WIN,-6165.0
270,BTCUSDT,2024-07-07 21:30:00+00:00,2024-07-07 23:40:00+00:00,SHORT,TP,56217.9,56161.6821,0.889396,50.0,35.0,15.0,WIN,-6150.0
271,BTCUSDT,2024-07-08 07:55:00+00:00,2024-07-08 08:00:00+00:00,LONG,TP,55802.1,55857.9021,0.896024,50.0,35.0,15.0,WIN,-6135.0
272,BTCUSDT,2024-07-08 15:45:00+00:00,2024-07-08 15:45:00+00:00,SHORT,TP,56010.2,55954.1898,0.892695,50.0,35.0,15.0,WIN,-6120.0
273,BTCUSDT,2024-07-09 13:50:00+00:00,2024-07-09 13:50:00+00:00,SHORT,TP,57118.5,57061.3815,0.875373,50.0,35.0,15.0,WIN,-6105.0
274,BTCUSDT,2024-07-09 14:35:00+00:00,2024-07-09 16:20:00+00:00,LONG,TP,57632.1,57689.7321,0.867572,50.0,35.0,15.0,WIN,-6090.0
275,BTCUSDT,2024-07-09 18:35:00+00:00,2024-07-09 18:35:00+00:00,LONG,TP,57831.9,57889.7319,0.864575,50.0,35.0,15.0,WIN,-6075.0
276,BTCUSDT,2024-07-10 11:35:00+00:00,2024-07-10 11:35:00+00:00,SHORT,TP,58426.5,58368.0735,0.855776,50.0,35.0,15.0,WIN,-6060.0
277,BTCUSDT,2024-07-11 01:50:00+00:00,2024-07-11 01:55:00+00:00,LONG,TP,58310.5,58368.8105,0.857478,50.0,35.0,15.0,WIN,-6045.0
278,BTCUSDT,2024-07-11 14:35:00+00:00,2024-07-11 14:40:00+00:00,SHORT,TP,57806.8,57748.9932,0.86495,50.0,35.0,15.0,WIN,-6030.0
279,BTCUSDT,2024-07-12 20:30:00+00:00,2024-07-15 07:40:00+00:00,SHORT,SL,57305.2,63035.72,0.872521,-5000.0,35.0,-5035.0,LOSS,-11065.0
280,BTCUSDT,2024-07-16 05:45:00+00:00,2024-07-16 05:45:00+00:00,SHORT,TP,63698.1,63634.4019,0.784953,50.0,35.0,15.0,WIN,-11050.0
281,BTCUSDT,2024-07-17 08:10:00+00:00,2024-07-17 08:10:00+00:00,SHORT,TP,65110.0,65044.89,0.767931,50.0,35.0,15.0,WIN,-11035.0
282,BTCUSDT,2024-07-18 02:05:00+00:00,2024-07-18 06:45:00+00:00,LONG,TP,64925.5,64990.4255,0.770113,50.0,35.0,15.0,WIN,-11020.0
283,BTCUSDT,2024-07-18 10:35:00+00:00,2024-07-18 11:05:00+00:00,SHORT,TP,64538.7,64474.1613,0.774729,50.0,35.0,15.0,WIN,-11005.0
284,BTCUSDT,2024-07-18 13:50:00+00:00,2024-07-18 13:50:00+00:00,SHORT,TP,64546.1,64481.5539,0.77464,50.0,35.0,15.0,WIN,-10990.0
285,BTCUSDT,2024-07-18 22:30:00+00:00,2024-07-18 22:40:00+00:00,LONG,TP,63990.7,64054.6907,0.781364,50.0,35.0,15.0,WIN,-10975.0
286,BTCUSDT,2024-07-19 12:50:00+00:00,2024-07-19 12:50:00+00:00,LONG,TP,64350.0,64414.35,0.777001,50.0,35.0,15.0,WIN,-10960.0
287,BTCUSDT,2024-07-19 13:50:00+00:00,2024-07-19 13:50:00+00:00,LONG,TP,64827.7,64892.5277,0.771275,50.0,35.0,15.0,WIN,-10945.0
288,BTCUSDT,2024-07-20 02:10:00+00:00,2024-07-21 18:05:00+00:00,SHORT,TP,66306.7,66240.3933,0.754072,50.0,35.0,15.0,WIN,-10930.0
289,BTCUSDT,2024-07-21 18:10:00+00:00,2024-07-21 18:10:00+00:00,SHORT,TP,66018.7,65952.6813,0.757361,50.0,35.0,15.0,WIN,-10915.0
290,BTCUSDT,2024-07-23 01:25:00+00:00,2024-07-23 01:25:00+00:00,SHORT,TP,67344.0,67276.656,0.742457,50.0,35.0,15.0,WIN,-10900.0
291,BTCUSDT,2024-07-23 14:35:00+00:00,2024-07-23 14:35:00+00:00,LONG,TP,66962.6,67029.5626,0.746685,50.0,35.0,15.0,WIN,-10885.0
