trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
506,ETHUSDT,2024-09-22 17:45:00+00:00,2024-09-22 17:45:00+00:00,LONG,TP,2585.47,2588.0555,19.338844,50.0,35.0,15.0,WIN,-12710.0
507,ETHUSDT,2024-09-22 22:05:00+00:00,2024-09-22 22:05:00+00:00,SHORT,TP,2530.53,2527.9995,19.758707,50.0,35.0,15.0,WIN,-12695.0
508,ETHUSDT,2024-09-22 23:00:00+00:00,2024-09-22 23:00:00+00:00,LONG,TP,2588.4,2590.9884,19.316953,50.0,35.0,15.0,WIN,-12680.0
509,ETHUSDT,2024-09-23 00:20:00+00:00,2024-10-01 14:50:00+00:00,SHORT,TP,2550.37,2547.8196,19.604998,50.0,35.0,15.0,WIN,-12665.0
510,ETHUSDT,2024-10-02 03:20:00+00:00,2024-10-02 03:40:00+00:00,LONG,TP,2489.99,2492.48,20.080402,50.0,35.0,15.0,WIN,-12650.0
511,ETHUSDT,2024-10-02 09:25:00+00:00,2024-10-02 09:25:00+00:00,SHORT,TP,2466.82,2464.3532,20.26901,50.0,35.0,15.0,WIN,-12635.0
512,ETHUSDT,2024-10-03 02:50:00+00:00,2024-10-03 03:30:00+00:00,LONG,TP,2393.57,2395.9636,20.889299,50.0,35.0,15.0,WIN,-12620.0
513,ETHUSDT,2024-10-03 08:05:00+00:00,2024-10-03 08:05:00+00:00,SHORT,TP,2364.95,2362.585,21.142096,50.0,35.0,15.0,WIN,-12605.0
514,ETHUSDT,2024-10-03 16:30:00+00:00,2024-10-03 16:30:00+00:00,SHORT,TP,2315.18,2312.8648,21.596593,50.0,35.0,15.0,WIN,-12590.0
515,ETHUSDT,2024-10-03 21:35:00+00:00,2024-10-03 22:00:00+00:00,LONG,TP,2348.69,2351.0387,21.288463,50.0,35.0,15.0,WIN,-12575.0
516,ETHUSDT,2024-10-04 14:30:00+00:00,2024-10-04 14:30:00+00:00,SHORT,TP,2358.41,2356.0516,21.200724,50.0,35.0,15.0,WIN,-12560.0
517,ETHUSDT,2024-10-04 15:25:00+00:00,2024-10-04 15:50:00+00:00,LONG,TP,2394.12,2396.5141,20.8845,50.0,35.0,15.0,WIN,-12545.0
518,ETHUSDT,2024-10-04 23:30:00+00:00,2024-10-05 02:40:00+00:00,SHORT,TP,2412.85,2410.4371,20.722382,50.0,35.0,15.0,WIN,-12530.0
519,ETHUSDT,2024-10-05 06:50:00+00:00,2024-10-05 06:50:00+00:00,LONG,TP,2423.7,2426.1237,20.629616,50.0,35.0,15.0,WIN,-12515.0
520,ETHUSDT,2024-10-05 13:55:00+00:00,2024-10-05 13:55:00+00:00,SHORT,TP,2411.2,2408.7888,20.736563,50.0,35.0,15.0,WIN,-12500.0
521,ETHUSDT,2024-10-06 01:25:00+00:00,2024-10-06 01:25:00+00:00,LONG,TP,2417.36,2419.7774,20.683721,50.0,35.0,15.0,WIN,-12485.0
522,ETHUSDT,2024-10-06 21:45:00+00:00,2024-10-06 21:45:00+00:00,SHORT,TP,2428.32,2425.8917,20.590367,50.0,35.0,15.0,WIN,-12470.0
523,ETHUSDT,2024-10-07 00:20:00+00:00,2024-10-07 00:20:00+00:00,LONG,TP,2450.72,2453.1707,20.402168,50.0,35.0,15.0,WIN,-12455.0
524,ETHUSDT,2024-10-07 08:55:00+00:00,2024-10-07 09:00:00+00:00,SHORT,TP,2482.96,2480.477,20.137256,50.0,35.0,15.0,WIN,-12440.0
525,ETHUSDT,2024-10-07 14:30:00+00:00,2024-10-07 14:30:00+00:00,LONG,TP,2504.91,2507.4149,19.960797,50.0,35.0,15.0,WIN,-12425.0
