trade_no,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
12,PAXGUSDT,2025-04-05 18:49:00+00:00,2025-04-05 21:29:00+00:00,SHORT,3060.4,3057.3396,16.337734,50.0,35.0,15.0,WIN,10180.0
13,PAXGUSDT,2025-04-05 22:09:00+00:00,2025-04-05 22:51:00+00:00,LONG,3063.81,3066.8738,16.31955,50.0,35.0,15.0,WIN,10195.0
14,PAXGUSDT,2025-04-06 00:15:00+00:00,2025-04-06 00:26:00+00:00,SHORT,3061.39,3058.3286,16.33245,50.0,35.0,15.0,WIN,10210.0
15,PAXGUSDT,2025-04-06 03:05:00+00:00,2025-04-06 03:53:00+00:00,LONG,3060.89,3063.9509,16.335118,50.0,35.0,15.0,WIN,10225.0
16,PAXGUSDT,2025-04-06 05:47:00+00:00,2025-04-06 08:10:00+00:00,SHORT,3060.04,3056.98,16.339656,50.0,35.0,15.0,WIN,10240.0
17,PAXGUSDT,2025-04-06 09:30:00+00:00,2025-04-06 10:05:00+00:00,LONG,3062.24,3065.3022,16.327917,50.0,35.0,15.0,WIN,10255.0
18,PAXGUSDT,2025-04-06 11:24:00+00:00,2025-04-06 17:59:00+00:00,SHORT,3062.73,3059.6673,16.325305,50.0,35.0,15.0,WIN,10270.0
19,PAXGUSDT,2025-04-06 20:23:00+00:00,2025-04-06 20:34:00+00:00,SHORT,3048.96,3045.911,16.399034,50.0,35.0,15.0,WIN,10285.0
20,PAXGUSDT,2025-04-07 03:37:00+00:00,2025-04-07 06:54:00+00:00,SHORT,3040.68,3037.6393,16.44369,50.0,35.0,15.0,WIN,10300.0
21,PAXGUSDT,2025-04-07 12:08:00+00:00,2025-04-07 12:35:00+00:00,SHORT,3043.0,3039.957,16.431153,50.0,35.0,15.0,WIN,10315.0
22,PAXGUSDT,2025-04-07 14:13:00+00:00,2025-04-07 14:13:00+00:00,LONG,3049.7,3052.7497,16.395055,50.0,35.0,15.0,WIN,10330.0
23,PAXGUSDT,2025-04-07 18:12:00+00:00,2025-04-07 18:20:00+00:00,LONG,3002.0,3005.002,16.655563,50.0,35.0,15.0,WIN,10345.0
24,PAXGUSDT,2025-04-07 18:49:00+00:00,2025-04-07 18:51:00+00:00,SHORT,2994.42,2991.4256,16.697724,50.0,35.0,15.0,WIN,10360.0
25,PAXGUSDT,2025-04-07 20:13:00+00:00,2025-04-07 20:16:00+00:00,LONG,2998.06,3001.0581,16.677451,50.0,35.0,15.0,WIN,10375.0
26,PAXGUSDT,2025-04-07 22:17:00+00:00,2025-04-07 22:33:00+00:00,LONG,3007.52,3010.5275,16.624993,50.0,35.0,15.0,WIN,10390.0
27,PAXGUSDT,2025-04-07 23:53:00+00:00,2025-04-07 23:56:00+00:00,SHORT,3005.08,3002.0749,16.638492,50.0,35.0,15.0,WIN,10405.0
28,PAXGUSDT,2025-04-08 01:13:00+00:00,2025-04-08 01:30:00+00:00,LONG,3014.84,3017.8548,16.584628,50.0,35.0,15.0,WIN,10420.0
29,PAXGUSDT,2025-04-08 03:07:00+00:00,2025-04-08 03:17:00+00:00,SHORT,3020.59,3017.5694,16.553058,50.0,35.0,15.0,WIN,10435.0
30,PAXGUSDT,2025-04-08 05:18:00+00:00,2025-04-08 06:20:00+00:00,LONG,3020.76,3023.7808,16.552126,50.0,35.0,15.0,WIN,10450.0
31,PAXGUSDT,2025-04-08 07:57:00+00:00,2025-04-08 09:14:00+00:00,SHORT,3024.99,3021.965,16.52898,50.0,35.0,15.0,WIN,10465.0
32,PAXGUSDT,2025-04-08 11:43:00+00:00,2025-04-08 13:06:00+00:00,SHORT,3022.72,3019.6973,16.541393,50.0,35.0,15.0,WIN,10480.0
33,PAXGUSDT,2025-04-08 14:56:00+00:00,2025-04-08 15:05:00+00:00,SHORT,3022.91,3019.8871,16.540354,50.0,35.0,15.0,WIN,10495.0
34,PAXGUSDT,2025-04-08 18:26:00+00:00,2025-04-09 01:33:00+00:00,LONG,3008.41,3011.4184,16.620075,50.0,35.0,15.0,WIN,10510.0
35,PAXGUSDT,2025-04-09 03:52:00+00:00,2025-04-09 04:20:00+00:00,LONG,3022.28,3025.3023,16.543801,50.0,35.0,15.0,WIN,10525.0
36,PAXGUSDT,2025-04-09 10:21:00+00:00,2025-04-09 10:23:00+00:00,SHORT,3056.9,3053.8431,16.35644,50.0,35.0,15.0,WIN,10540.0
37,PAXGUSDT,2025-04-09 11:24:00+00:00,2025-04-09 11:24:00+00:00,LONG,3070.67,3073.7407,16.283091,50.0,35.0,15.0,WIN,10555.0
